Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Badehotellet,58,"Comedy, Drama","Amalie Dollerup, Lars Ranthe, Anne Louise Hassing, Merete Mærkedahl",7.6,1909,2013
Salvation,31,"Drama, Sci-Fi, Thriller","Santiago Cabrera, Jennifer Finnigan, Charlie Rowe, Jacqueline Byers",7,19566,2017
The Knick,30,"Drama, History","André Holland, Clive Owen, Jeremy Bobb, Juliet Rylance",8.5,44768,2014
Mrs. Fletcher,42,"Comedy, Drama","Kathryn Hahn, Jackson White, Owen Teague, Jen Richards",7.1,5814,2019
F Is for Family,50,"Animation, Comedy, Drama","Bill Burr, Laura Dern, Justin Long, Debi Derryberry",8,30651,2015
V,60,"Drama, Sci-Fi, Thriller","Elizabeth Mitchell, Morris Chestnut, Joel Gretsch, Logan Huffman",6.8,53696,2009
The Family Business,52,"Action, Crime, Drama","LisaRaye McCoy, Antoine Holmes Sr., Spencer Holmes, Valarie Pettiford",6.1,436,2018
Everwood,11,Drama,"Treat Williams, Gregory Smith, Emily VanCamp, Debra Mooney",7.4,13202,2002
Tell Me a Story,48,Thriller,"Danielle Campbell, Paul Wesley, James Wolk, Billy Magnussen",7.2,7791,2018
The Amazing World of Gumball,23,"Animation, Adventure, Comedy","Dan Russell, Teresa Gallagher, Kerry Shale, Kyla Rae Kowalewski",8.2,23584,2011
Roman Empire,59,"Documentary, Biography, Drama","Aaron Irvin, Corey Brennan, Jerry Toner, Steve West",7,6337,2016
Hannah Montana,30,"Comedy, Family, Music","Miley Cyrus, Emily Osment, Jason Earles, Billy Ray Cyrus",5.2,37644,2006
Ripper Street,60,"Crime, Drama, Mystery","Matthew Macfadyen, Adam Rothenberg, MyAnna Buring, Jerome Flynn",8.1,19744,2012
I'm Sorry.,43,Comedy,"Andrea Savage, Tom Everett Scott, Olive Petrucci, Kathy Baker",8,4701,2017
Body of Proof,60,"Comedy, Crime, Drama","Dana Delany, Jeri Ryan, Geoffrey Arend, Windell Middlebrooks",7.1,15924,2011
The Bridge,180,"Crime, Drama, Mystery","Demián Bichir, Diane Kruger, Thomas M. Wright, Ted Levine",7.6,18027,I 20
Last Tango in Halifax,60,"Comedy, Drama, Romance","Anne Reid, Derek Jacobi, Sarah Lancashire, Nicola Walker",8.3,5769,2012
Critical Role,23,"Adventure, Fantasy","""Liam OBrien"", Taliesin Jaffe, Marisha Ray, Matthew Mercer",9.2,7580,2015
Gentleman Jack,44,"Biography, Drama, History","Suranne Jones, Sophie Rundle, Rosie Cavaliero, Albane Courtois",8.2,9198,2019
Girl Meets World,45,"Comedy, Drama, Family","Rowan Blanchard, Sabrina Carpenter, Ben Savage, Danielle Fishel",7.1,13239,2014
Lost Girl,60,"Action, Drama, Fantasy","Anna Silk, Kris Holden-Ried, Zoie Palmer, Rick Howland",7.7,29165,2010
Shakespeare & Hathaway: Private Investigators,60,"Comedy, Drama, Mystery","Mark Benton, Jo Joyner, Patrick Walshe McBride, Amber Aga",7.6,2583,2018
Agatha Raisin,60,"Comedy, Drama, Mystery","Ashley Jensen, Matt McCooey, Mathew Horne, Jamie Glover",7.3,3412,2014
Switched at Birth,30,"Drama, Family, Romance","Katie Leclerc, Vanessa Marano, Constance Marie, D.W. Moffett",7.7,23674,2011
Innan vi dör,30,"Drama, Mystery, Thriller","Marie Richardson, Adam Pålsson, Magnus Krepper, Malgorzata Pieczynska",7.7,3639,2017
Tacoma FD,60,Comedy,"Kevin Heffernan, Steve Lemme, Eugene Cordero, Marcus Henderson",8.1,3151,2019
George Lopez,24,"Comedy, Drama","George Lopez, Constance Marie, Luis Armand Garcia, Valente Rodriguez",6.7,10486,2002
Big Love,45,Drama,"Bill Paxton, Jeanne Tripplehorn, Chloë Sevigny, Ginnifer Goodwin",7.6,20306,2006
Food Wars: Shokugeki no Soma,25,"Animation, Comedy, Drama","Yoshitsugu Matsuoka, Minami Takahashi, Maaya Uchida, Ai Kayano",8.2,7639,2015
Truth Be Told,42,"Crime, Drama, Mystery","Octavia Spencer, Rico E. Anderson, Lizzy Caplan, Michael Beach",7.1,6735,2019
Big Time Rush,60,"Comedy, Family, Musical","Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson",6.3,10613,2009
Hell on Wheels,60,"Drama, Western","Anson Mount, Colm Meaney, Robin McLeavy, Phil Burke",8.3,48519,2011
Miss Fisher's Murder Mysteries,45,"Crime, Drama, Mystery","Essie Davis, Nathan Page, Hugo Johnstone-Burt, Ashleigh Cummings",8.3,14220,2012
Las Vegas,60,"Crime, Drama","Josh Duhamel, James Caan, James Lesure, Vanessa Marcil",7.4,26278,2003
Departure,23,"Drama, Mystery, Thriller","Archie Panjabi, Kris Holden-Ried, Christopher Plummer, Mark Rendall",7.2,3667,2019
Slasher,43,"Crime, Drama, Horror","Dean McDermott, Joanne Vannicola, Paula Brancati, Christopher Jacot",6.7,11733,2016
PAW Patrol,60,"Animation, Action, Adventure","Ron Pardo, Kallan Holley, Devan Cohen, Samuel Faraci",6.2,2345,2013
The 4400,21,"Drama, Mystery, Sci-Fi","Jacqueline McKenzie, Joel Gretsch, Patrick John Flueger, Conchita Campbell",7.3,42768,2004
Accused,30,"Crime, Drama, Mystery","Michael Maloney, Chord Melodic, Andrew Readman, Rosina Carbone",8,2052,2010
Bob Hearts Abishola,90,"Comedy, Romance","Billy Gardell, Folake Olowofoyeku, Matt Jones, Gina Yashere",6.7,2995,2019
Hot in Cleveland,43,Comedy,"Valerie Bertinelli, Jane Leeves, Wendie Malick, Betty White",7.3,12521,2010
Aurora Teagarden Mysteries,30,"Crime, Mystery","Candace Cameron Bure, Marilu Henner, Peter Benson, Lexa Doig",7.7,416,2015
The Following,11,"Crime, Drama, Horror","Kevin Bacon, James Purefoy, Shawn Ashmore, Valorie Curry",7.4,84371,2013
You're the Worst,30,"Comedy, Drama, Romance","Chris Geere, Aya Cash, Desmin Borges, Kether Donohue",8.1,23927,2014
Infinity Train,60,"Animation, Action, Adventure","Ashley Johnson, Owen Dennis, Jeremy Crutchley, Kirby Howell-Baptiste",8.5,4408,I 20
Sorry for Your Loss,60,Drama,"Elizabeth Olsen, Kelly Marie Tran, Jovan Adepo, Mamoudou Athie",7.4,1983,2018
Knightfall,44,"Action, Adventure, Drama","Tom Cullen, Pádraic Delaney, Simon Merrells, Julian Ovenden",6.8,17697,2017
The Unit,60,"Action, Drama, Thriller","Dennis Haysbert, Regina Taylor, Audrey Marie Anderson, Robert Patrick",8.1,20560,2006
Rush,22,"Action, Drama","Tom Ellis, Larenz Tate, Sarah Habel, Rick Gonzalez",7.7,5923,2014
Jersey Shore Family Vacation,43,Reality-TV,"""Paul Pauly D DelVecchio"", Ronnie Magro, ""Mike The Situation Sorrentino"", Jenni Farley",6.6,1447,2018
Better Things,60,"Comedy, Drama","Pamela Adlon, Mikey Madison, Hannah Alligood, Olivia Edward",7.8,12645,2016
El Chapo,90,"Crime, Drama","Marco de la O, Humberto Busto, Diego Vásquez, Juan Carlos Cruz",7.8,15741,2017
Crossing Jordan,30,"Crime, Drama, Mystery","Jill Hennessy, Miguel Ferrer, Ravi Kapoor, Steve Valentine",6.9,10341,2001
Kara Para Ask,60,"Action, Crime, Drama","Engin Akyürek, Tuba Büyüküstün, Erkan Can, Damla Colbay",7.3,5195,2014
Sam & Cat,378,"Comedy, Drama, Family","Jennette McCurdy, Ariana Grande, Cameron Ocasio, Maree Cheatham",5.7,7919,2013
Greek,45,"Comedy, Drama, Family","Clark Duke, Scott Michael Foster, Spencer Grammer, Paul James",7.5,23646,2007
La Reina del Sur,22,"Action, Crime, Drama","Kate del Castillo, Humberto Zurita, Alejandro Calva, Carmen Navarro",8,2152,2011
The Exorcist,60,"Drama, Horror, Mystery","Alfonso Herrera, Ben Daniels, Kurt Egyiawan, Hannah Kasulka",8,26201,2016
Young & Hungry,22,"Comedy, Drama, Romance","Emily Osment, Jonathan Sadowski, Aimee Carrero, Kym Whitley",7.4,14196,2014
America's Got Talent,30,"Family, Game-Show, Music","Howie Mandel, Nick Cannon, Heidi Klum, Sharon Osbourne",5.8,9173,2006
Primal,30,"Animation, Action, Adventure","Aaron LaPlante, Tom Kenny, Jon Olson, Laëtitia Eïdo",8.7,7686,2019
Zoey 101,22,"Comedy, Drama, Family","Jamie Lynn Spears, Paul Butcher, Christopher Massey, Erin Sanders",6.1,14195,2005
Teen Titans,30,"Animation, Action, Adventure","Hynden Walch, Greg Cipes, Scott Menville, Khary Payton",7.9,27463,2003
Wizards of Waverly Place,40,"Adventure, Comedy, Drama","Selena Gomez, David Henrie, Jake T. Austin, Jennifer Stone",6.9,30487,2007
Nathan for You,22,"Documentary, Comedy","Nathan Fielder, Anthony Filosa, Brian S. Wolfe, Simon Kellog",8.9,21253,2013
The Protector,23,"Action, Fantasy, Sci-Fi","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Burçin Terzioglu",6.7,32638,2018
Baby Daddy,461,"Comedy, Drama, Family","Jean-Luc Bilodeau, Derek Theler, Melissa Peterman, Chelsea Kane",7.4,19254,2012
Shigatsu wa kimi no uso,42,"Animation, Drama, Music","Natsuki Hanae, Risa Taneda, Ayane Sakura, Ryôta Ôsaka",8.6,19976,2014
Giri/Haji,90,"Crime, Drama, Mystery","Takehiro Hira, Sophia Brown, Charlie Creed-Miles, Jamie Draven",7.9,11470,2019
Masterchef,30,"Game-Show, Reality-TV","Gordon Ramsay, Joe Bastianich, Charlie Ryan, Graham Elliot",7.3,7847,II 2
Wallander,44,"Crime, Drama, Mystery","Kenneth Branagh, Richard McCabe, Jeany Spark, Sarah Smart",7.9,13201,2008
The Suite Life of Zack & Cody,60,"Comedy, Family","Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale",6.5,33510,2005
Burden of Truth,48,Drama,"Kristin Kreuk, Peter Mooney, ""Anwen ODriscoll"", Star Slade",7.3,3304,2018
Ice,55,"Crime, Drama","Cam Gigandet, Jeremy Sisto, Audrey Marie Anderson, Judith Shekoni",6.7,860,2016
Spinning Out,60,"Drama, Sport","Kaya Scodelario, January Jones, Willow Shields, Evan Roderick",7.6,11444,2020
The Musketeers,30,"Adventure, Drama","Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles",7.8,21036,2014
Sseulsseulhago Chalranhashin: Dokkaebi,50,"Comedy, Drama, Fantasy","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na",8.6,13257,2016
Cuckoo,22,Comedy,"Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard",7.2,8268,II 2
Torchwood,43,"Action, Drama, Mystery","John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd",7.7,39001,2006
Grown-ish,23,"Comedy, Drama","Yara Shahidi, Trevor Jackson, Francia Raisa, Emily Arlook",6.4,4377,2018
"Signed, Sealed, Delivered",23,"Comedy, Drama, Mystery","Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson",7.5,1974,2014
Ansatsu kyôshitsu,60,"Animation, Action, Comedy","Jun Fukuyama, Mai Fuchigami, Christopher Bevins, Luci Christian",8,9959,2013
The Thundermans,60,"Action, Comedy, Drama","Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez",5.8,3928,2013
Tidelands,30,"Crime, Drama, Fantasy","Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood",7,6988,2018
Rescue Me,60,"Comedy, Drama","Denis Leary, Michael Lombardi, Steven Pasquale, Andrea Roth",8.3,25189,2004
A Black Lady Sketch Show,20,Comedy,"Robin Thede, Ashley Nicole Black, Gabrielle Dennis, Quinta Brunson",7.2,1889,2019
Get Shorty,22,"Comedy, Crime","""Chris ODowd"", Ray Romano, Sean Bridgers, Carolyn Dodd",8.2,6163,2017
Flames,21,"Comedy, Drama, Romance","Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar",9.2,24699,2018
Rules of Engagement,42,"Comedy, Romance","Patrick Warburton, Megyn Price, Oliver Hudson, Bianca Kajlich",7.3,32071,2007
This Country,75,Comedy,"Daisy May Cooper, Charlie Cooper, Paul Chahidi, Ivy Woodcock",8.5,4448,2017
The Carrie Diaries,60,"Comedy, Romance","AnnaSophia Robb, Austin Butler, Ellen Wong, Katie Findlay",7,26250,2013
Vivir sin permiso,42,Drama,"Jose Coronado, Álex González, Claudia Traisac, Luis Zahera",7.5,3615,2018
Tae-yang-eui hoo-ye,140,"Action, Comedy, Drama","Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won",8.3,10618,2016
Perception,nan,"Crime, Drama, Mystery","Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith",7.5,19467,2012
Siyah Beyaz Ask,nan,"Action, Drama, Romance","Ibrahim Celikkol, Birce Akalay, Muhammet Uzuner, Cahit Gök",8.1,5246,2017
Electric Dreams,60,Sci-Fi,"Steve Buscemi, Geraldine Chaplin, Bryan Cranston, Terrence Howard",7.3,14338,2017
That Time I Got Reincarnated as a Slime,25,"Animation, Action, Adventure","Miho Okasaki, Brittney Karbowski, Mallorie Rodak, Megumi Toyoguchi",8.1,5555,2018
Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,24,"Animation, Comedy, Romance","Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama",8.4,6001,2019
Kiralik Ask,120,"Comedy, Romance","Elçin Sangu, Baris Arduç, Salih Bademci, Nergis Kumbasar",7.1,6743,2015
Krypton,45,"Action, Adventure, Drama","Cameron Cuffe, Georgina Campbell, Shaun Sipos, Ann Ogbomo",6.9,15187,2018
Terminator: The Sarah Connor Chronicles,60,"Action, Drama, Fantasy","Lena Headey, Thomas Dekker, Summer Glau, Richard T. Jones",7.7,57918,2008
Robot Chicken,11,"Animation, Short, Adventure","Seth Green, Matthew Senreich, Breckin Meyer, Tom Root",7.7,40106,2005
Paradise PD,28,"Animation, Action, Comedy","Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane",6.9,15387,2018
The Dragon Prince,26,"Animation, Adventure, Drama","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson",8.4,18002,2018
Family Reunion,28,Comedy,"Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi, Loretta Devine",6.5,1947,2019
Secret City,49,"Mystery, Thriller","Anna Torv, Marcus Graham, Justin Smith, Aleks Mikic",7.4,6834,2016
Muhtesem Yüzyil,90,"Biography, Drama, History","Gökhan Atalay, Halit Ergenç, Nur Fettahoglu, Selim Bayraktar",6.7,15633,2011
Candice Renoir,52,"Comedy, Crime, Drama","Cécile Bois, Raphaël Lenglet, Clara Antoons, Etienne Martinelli",7.4,822,2013
World on Fire,57,"Drama, War","Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean",7.3,4352,2019
Jericho,45,"Action, Drama, Mystery","Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell",7.9,54376,2006
Our Girl,60,"Action, Drama, Thriller","Michelle Keegan, Sean Ward, Ben Aldridge, Rolan Bell",7.7,3653,2013
Portlandia,22,Comedy,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams",7.8,18734,2011
Klovn,25,Comedy,"Frank Hvam, Casper Christensen, Mia Lyhne, Iben Hjejle",8.4,4939,2005
Ben 10,22,"Animation, Action, Adventure","Tara Strong, Paul Eiding, Meagan Moore, Dee Bradley Baker",7.3,14587,2005
Ramy,30,"Comedy, Drama, Romance","Ramy Youssef, Amr Waked, Mohammed Amer, Hiam Abbass",8.1,11259,2019
Lilyhammer,45,"Comedy, Crime, Drama","Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen",8,27181,2012
For Life,43,"Biography, Crime, Drama","Nicholas Pinnock, Indira Varma, Joy Bryant, Dorian Missick",7.6,3960,2020
Ancient Aliens,42,"Documentary, Fantasy, History","Robert Clotworthy, Giorgio A. Tsoukalos, David Childress, William Henry",7.2,9988,2009
Invincible,9,Animation,"Patrick Cavanaugh, Pete Sepenuk, Victoria Kelleher, Wendy Allyn",8.8,356,2008
Señora Acero,22,"Crime, Drama, Romance","Aurora Gil, Oscar Priego, Jorge Zárate, Michel Duval",7.1,289,2014
Peppa Pig,25,"Animation, Adventure, Comedy","John Sparkes, Morwenna Banks, Richard Ridings, Oliver May",6.3,3985,2004
Raven's Home,51,"Comedy, Family","Raven-Symoné, Issac Ryan Brown, Navia Ziraili Robinson, Jason Maybaum",7.3,2542,2017
Samurai Jack,60,"Animation, Action, Adventure","Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett",8.5,47168,2001
Gypsy,43,"Drama, Thriller","Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman",6.9,14739,2017
Tales of the City,30,Drama,"Laura Linney, Elliot Page, Paul Gross, Murray Bartlett",7.4,6722,2019
SGU Stargate Universe,22,"Drama, Sci-Fi","Robert Carlyle, Louis Ferreira, Brian J. Smith, Elyse Levesque",7.6,48132,2009
Secret Diary of a Call Girl,89,Drama,"Billie Piper, Iddo Goldberg, Cherie Lunghi, Ashley Madekwe",7.4,12903,2007
Good Luck Charlie,30,"Comedy, Drama, Family","Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico",7,19375,2010
Inspector George Gently,52,"Crime, Drama, Mystery","Martin Shaw, Lee Ingleby, Simon Hubbard, Lisa McGrillis",8,6107,2007
Norsemen,45,Comedy,"Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene",7.8,15504,2016
Zone Blanche,24,"Crime, Drama, Horror","Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy",7.5,8510,2017
Scott & Bailey,44,"Crime, Drama, Mystery","Suranne Jones, Lesley Sharp, Tony Mooney, David Prosho",8,7186,2011
Dragon Ball Super: Doragon bôru cho,23,"Animation, Action, Adventure","Masako Nozawa, Naoki Tatsuta, Ryô Horikawa, Sean Schemmel",8.4,25071,2015
Treadstone,55,Action,"Jeremy Irvine, Tracy Ifeachor, Omar Metwally, Han Hyo-joo",7,8794,2019
To the Lake,24,"Drama, Sci-Fi, Thriller","Kirill Käro, Maryana Spivak, Aleksandr Robak, Eldar Kalimulin",7.3,10124,I 20
Undone,53,"Animation, Drama, Fantasy","Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay",8.2,14911,2019
Deadliest Catch,30,"Documentary, Adventure, Reality-TV","Mike Rowe, Sig Hansen, Keith Colburn, Jake Anderson",7.8,7875,2005
Lovesick,26,Comedy,"Johnny Flynn, Antonia Thomas, Daniel Ings, Joshua McGuire",8.1,17139,2014
Waterloo Road,22,"Drama, Romance","Philip Martin Brown, Jason Done, Chelsee Healey, Denise Welch",7.2,2834,2006
Bless the Harts,30,"Animation, Comedy","Kristen Wiig, Maya Rudolph, Jillian Bell, Ike Barinholtz",5.4,1572,2019
One Mississippi,30,"Comedy, Drama","Tig Notaro, John Rothman, Noah Harpster, Stephanie Allynne",7.4,3420,2015
Everybody Hates Chris,60,"Comedy, Drama, Music","Terry Crews, Tichina Arnold, Tequan Richmond, Imani Hakim",7.4,34863,2005
Melissa & Joey,23,"Comedy, Romance","Melissa Joan Hart, Joey Lawrence, Taylor Spreitler, Nick Robinson",7,17851,2010
Transparent,29,"Comedy, Drama","Jeffrey Tambor, Amy Landecker, Gaby Hoffmann, Jay Duplass",7.7,21510,2014
Fortitude,25,"Drama, Horror, Mystery","Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen",7.4,20277,2015
Trollhunters,22,"Animation, Action, Adventure","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer",8.5,14070,2016
The Tick,60,"Action, Adventure, Comedy","Peter Serafinowicz, Griffin Newman, Valorie Curry, Brendan Hines",7.4,16207,2016
Alexa & Katie,60,"Comedy, Drama","Paris Berelc, Isabel May, Jolie Jenkins, Emery Kelly",7.5,3457,2018
Kiseijû: Sei no kakuritsu,24,"Animation, Action, Horror","Adam Gibbs, Aya Hirano, Brittney Karbowski, Nobunaga Shimazaki",8.3,28154,2014
NOS4A2,44,"Drama, Fantasy, Horror","Ashleigh Cummings, Ólafur Darri Ólafsson, Jahkara Smith, Ebon Moss-Bachrach",6.7,7955,2019
Hightown,80,"Crime, Drama, Mystery","Riley Voelkel, Mike Pniewski, Tonya Glanz, Jona Xiao",6.5,2510,2020
Damages,10,"Crime, Drama, Mystery","Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth",8.1,28220,2007
DARLING in the FRANXX,22,"Animation, Action, Drama","Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami",7.4,6121,2018
Wu Assassins,30,"Action, Crime, Drama","Iko Uwais, Byron Mann, Li Jun Li, Lawrence Kao",6.4,10371,2019
Miseuteo Shunshain,30,"Action, Drama, History","Lee Byung-hun, Kim Tae-ri, Yoo Yeon-Seok, Yo-Han Byun",8.8,4915,2018
Teen Titans Go!,30,"Animation, Action, Adventure","Scott Menville, Greg Cipes, Khary Payton, Hynden Walch",5.3,18122,2013
The Loud House,24,"Animation, Action, Adventure","Grey Griffin, Lara Jill Miller, Jessica DiCicco, Catherine Taber",7.2,3878,2015
No Activity,60,"Animation, Comedy","Patrick Brammall, Sunita Mani, Tim Meadows, Amy Sedaris",6.7,1174,2017
Cocomelon,60,"Animation, Comedy, Family","Hannah An, Alice Cho, Ava Madison Gray, Kristen Princiotta",4.8,215,2019
Party Down,45,"Comedy, Drama","Adam Scott, Ken Marino, Ryan Hansen, Martin Starr",8.2,28385,2009
Still Game,30,Comedy,"Ford Kiernan, Greg Hemphill, Paul Riley, Gavin Mitchell",8.8,6472,2002
Akame ga Kill!,107,"Animation, Action, Adventure","Sôma Saitô, Corey Hartzog, Sora Amamiya, Molly Searcy",7.8,18478,2014
Girlfriends' Guide to Divorce,52,"Comedy, Drama","Lisa Edelstein, Beau Garrett, Necar Zadegan, Alanna Ubach",6.9,3985,2014
L'amica geniale,45,Drama,"Alba Rohrwacher, Margherita Mazzucco, Gaia Girace, Annarita Vitolo",8.6,10774,2018
The Mallorca Files,42,"Crime, Drama","Elen Rhys, Julian Looman, María Fernández Ache, Tábata Cerezo",6.6,1346,2019
The Comeback,50,Comedy,"Lisa Kudrow, Lance Barber, Robert Michael Morris, Laura Silverman",8,6412,2005
Bonding,90,"Comedy, Drama","Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman",7.2,14103,2018
Engrenages,42,"Crime, Drama, Mystery","Caroline Proust, Audrey Fleurot, Thierry Godard, Philippe Duclos",8.5,5503,2005
Beforeigners,22,"Crime, Drama, Sci-Fi","Nicolai Cleve Broch, Krista Kosonen, Ágústa Eva Erlendsdóttir, Stig R. Amdam",7.8,7115,2019
The Night Shift,43,"Drama, Romance","Eoin Macken, Jill Flint, Brendan Fehr, Robert Bailey Jr.",7.4,11197,2014
Baby,43,Drama,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre",6.8,9072,2018
The Inspector Lynley Mysteries,59,"Crime, Drama, Mystery","Nathaniel Parker, Sharon Small, Lesley Vickerage, Paul Hickey",7.4,4305,2001
Naked and Afraid XL,50,"Adventure, Reality-TV","Michael Brown, Lacey Jones, Jeff Zausch, Matt Wright",7.4,1142,2015
Drunk History,50,"Comedy, History","Derek Waters, Bennie Arthur, Craig Cackowski, Maria Blasucci",7.8,9523,2013
Forever,60,"Crime, Drama, Fantasy","Ioan Gruffudd, Alana De La Garza, Joel David Moore, Donnie Keshawarz",8.3,54131,2014
Inhumans,50,"Action, Adventure, Sci-Fi","Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor",5,22834,2017
Da Vinci's Demons,60,"Adventure, Biography, Drama","Tom Riley, Gregg Chillin, Eros Vlahos, Laura Haddock",8,74175,2013
Suburra - La serie,60,"Action, Crime","Alessandro Borghi, Giacomo Ferrara, Filippo Nigro, Carlotta Antonelli",7.9,12668,2017
Criminal Justice,42,"Crime, Drama, Mystery","Vikrant Massey, Pankaj Tripathi, Rucha Inamdar, Jagat Rawat",8.1,12072,2019
Salem,24,"Drama, Fantasy, Horror","Janet Montgomery, Shane West, Seth Gabel, Tamzin Merchant",7.2,22392,2014
Chen qing ling,42,"Action, Adventure, Drama","Zhan Xiao, Yibo Wang, Zhuocheng Wang, Lu Xuan",9,4371,2019
The Hills: New Beginnings,60,Reality-TV,"Brody Jenner, Audrina Patridge, Heidi Montag, Spencer Pratt",5.5,463,2019
Metástasis,42,"Crime, Drama, Thriller","Constanza Hernández, Diego Trujillo, Roberto Urbina, Sandra Reyes",2.3,1940,2014
Frankie Drake Mysteries,21,"Crime, Drama, Mystery","Lauren Lee Smith, Chantel Riley, Rebecca Liddiard, Sharron Matthews",6.8,1780,2017
Saints & Sinners,30,Drama,"Vanessa Bell Calloway, Clifton Powell, Jasmine Burke, J.D. Williams",7.5,527,2016
Kuroko no basuke,48,"Animation, Comedy, Sport","Kenshô Ono, Yoshimasa Hosoya, Yuki Ono, Hirofumi Nojima",8.3,6111,2012
Southland,43,"Crime, Drama, Thriller","Michael Cudlitz, Shawn Hatosy, Regina King, Ben McKenzie",8.4,24905,2009
Blood & Treasure,30,"Action, Adventure","Matt Barr, Sofia Pernas, James Callis, Katia Winter",6.7,3788,2019
Cardinal,30,"Crime, Drama, Mystery","Billy Campbell, Karine Vanasse, Kristen Thomson, Glen Gould",7.7,7578,2017
The Odd Couple,30,Comedy,"Matthew Perry, Thomas Lennon, Lindsay Sloane, Yvette Nicole Brown",6.4,8511,2015
Crashing,45,Comedy,"Phoebe Waller-Bridge, Jonathan Bailey, Julie Dray, Louise Ford",7.7,15744,2016
The Circle,60,"Game-Show, Reality-TV","Michelle Buteau, Jack Atkins, Deleesa Carrasquillo, Courtney Revolution",7.3,5027,2020
Revolution,24,"Action, Adventure, Drama","Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth",6.7,81337,2012
Looking,30,"Comedy, Drama, Romance","Jonathan Groff, Frankie J. Alvarez, Murray Bartlett, Lauren Weedman",8.2,16726,2014
According to Jim,30,"Comedy, Romance","Jim Belushi, Courtney Thorne-Smith, Larry Joe Campbell, Taylor Atelian",6.4,34580,2001
Mike & Molly,60,Comedy,"Billy Gardell, Melissa McCarthy, Reno Wilson, Katy Mixon",6.4,23444,2010
Deep State,24,"Action, Drama, Thriller","Joe Dempsie, Karima McAdams, Anastasia Griffith, Alistair Petrie",7.1,4916,2018
McMafia,47,"Crime, Drama, Thriller","James Norton, Merab Ninidze, Kirill Pirogov, Igor Pokrajac",7.7,14007,2018
Kakegurui,60,"Animation, Drama, Mystery","Saori Hayami, Tatsuya Tokutake, Miyuki Sawashiro, Minami Tanaka",7.2,5820,2017
High Maintenance,50,"Comedy, Drama","Ben Sinclair, Kate Lyn Sheil, Britt Lower, Abdullah Saeed",8.1,7298,2016
Detectorists,45,Comedy,"Mackenzie Crook, Toby Jones, Rachael Stirling, Gerard Horan",8.6,11761,2014
Gran Hotel,45,"Crime, Drama, Mystery","Adriana Ozores, Amaia Salamanca, Yon González, Eloy Azorín",8.4,9661,2011
Hagane no renkinjutsushi,68,"Animation, Action, Adventure","Vic Mignogna, Aaron Dismuke, Romi Pak, Rie Kugimiya",8.5,64091,2003
Bad Blood,60,"Crime, Drama","Kim Coates, Louis Ferreira, Sharon Taylor, Melanie Scrofano",7.5,7930,2017
