Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Black Mirror,60,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",8.8,462587,2011
The Witcher,60,"Action, Adventure, Fantasy","Henry Cavill, Anna Shaffer, Freya Allan, Yasen Atour",8.2,321466,2019
The Crown,58,"Biography, Drama, History","Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",8.6,166196,2016
Lost,44,"Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",8.3,507182,2004
It's Always Sunny in Philadelphia,22,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",8.8,195045,2005
Kim's Convenience,22,Comedy,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu",8.2,11076,2016
Shameless,46,"Comedy, Drama","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White",8.5,211076,2011
S.W.A.T.,43,"Action, Adventure, Crime","Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson",7,15999,2017
How I Met Your Mother,22,"Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",8.3,618121,2005
Pose,60,Drama,"Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel",8.6,22037,2018
New Girl,22,Comedy,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",7.7,198036,2011
See,60,"Action, Drama, Sci-Fi","Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo",7.6,45777,2019
Ozark,60,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",8.4,200966,2017
The 100,43,"Drama, Mystery, Sci-Fi","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",7.6,224132,2014
Doctor Who,45,"Adventure, Drama, Family","Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",8.6,202938,2005
Westworld,62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton",8.6,439841,2016
The Vampire Diaries,43,"Drama, Fantasy, Horror","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",7.7,290496,2009
The Wire,59,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",9.3,294150,2002
A Million Little Things,43,"Comedy, Drama, Romance","David Giuntoli, Romany Malco, Allison Miller, Christina Moses",7.9,9562,2018
The Last Kingdom,60,"Action, Drama, History","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",8.4,91987,2015
Sons of Anarchy,45,"Crime, Drama, Thriller","Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",8.5,267551,2008
Bones,40,"Comedy, Crime, Drama","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",7.8,142888,2005
Bosch,51,"Crime, Drama","Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",8.4,49704,2014
Chicago Fire,43,"Action, Drama","Jesse Spencer, Taylor Kinney, Christian Stolte, Eamonn Walker",8,41221,2012
True Detective,55,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",8.9,510795,2014
Community,22,Comedy,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",8.5,227366,2009
Castlevania,23,"Animation, Action, Adventure","Richard Armitage, James Callis, Alejandra Reynoso, Theo James",8.3,48905,2017
Master of None,30,"Comedy, Drama","Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells",8.3,69540,2015
House M.D.,44,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",8.7,422601,2004
Sex Education,45,"Comedy, Drama","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",8.3,171342,2019
The Bold Type,45,"Comedy, Drama","Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin",7.9,14758,2017
Superstore,22,Comedy,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",7.8,34013,2015
The Expanse,60,"Drama, Mystery, Sci-Fi","Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",8.5,117294,2015
The Rookie,43,"Comedy, Crime, Drama","Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr.",8,23655,2018
Suits,44,"Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",8.4,371333,2011
Parks and Recreation,22,Comedy,"Amy Poehler, ""Jim OHeir"", Nick Offerman, Chris Pratt",8.6,223130,2009
Cobra Kai,30,"Action, Comedy, Drama","Ralph Macchio, Xolo Maridueña, William Zabka, Courtney Henggeler",8.6,119611,2018
Legends of Tomorrow,42,"Action, Adventure, Drama","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Brandon Routh",6.8,94463,2016
9/1/01,43,"Action, Drama, Thriller","Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds",7.7,24353,2018
Heartland,45,"Drama, Family","Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle",8.4,10864,II 2
Broken But Beautiful,22,"Drama, Romance","Vikrant Massey, Harleen Sethi, Jitin Gulati, Pooja Bhamrrah",9.2,11744,2018
Mad Men,47,Drama,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",8.6,213620,2007
Boku no hîrô akademia,24,"Animation, Action, Adventure","Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Kaito Ishikawa",8.5,41896,2016
Dark,60,"Crime, Drama, Mystery","Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne",8.8,305353,2017
Chicago P.D.,43,"Action, Crime, Drama","Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati",8.1,29871,2014
Euphoria,55,Drama,"Zendaya, Hunter Schafer, Jacob Elordi, Maude Apatow",8.4,71996,2019
