ID,Year,Category,Nominee,Staff,Company,Producer,Win
1,2019,Outstanding Character Voice-Over Performance,The Simpsons,"Hank Azaria, as Moe, Carl, Duffman, Kirk",FOX,Gracie Films in association with 20th Century Fox Television,FALSE
2,2019,Outstanding Character Voice-Over Performance,Family Guy,"Alex Borstein, as Lois Griffin, Tricia Takanawa",FOX,20th Century Fox Television,FALSE
3,2019,Outstanding Character Voice-Over Performance,When You Wish Upon A Pickle: A Sesame Street Special,"Eric Jacobson, as Bert, Grover, Oscar",HBO,Sesame Street Workshop,FALSE
4,2019,Outstanding Character Voice-Over Performance,F Is For Family,"Kevin Michael Richardson, as Rosie",Netflix,Wild West Television in association with Gaumont Television,FALSE
5,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Escape At Dannemora,"Mark Ricker, Production Designer; James Truesdale, Art Director; Cherish M. Hale, Set Decorator",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",FALSE
6,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Killing Eve,"Laurence Dorman, Production Designer; Beckie Harvey, Art Director; Linda Wilson, Set Decorator",BBC America,Sid Gentle Films Ltd.,FALSE
7,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),Ozark,"Derek R. Hill, Production Designer; John Richardson, Art Director; Kim Leoleis, Set Decorator",Netflix,Media Rights Capital,FALSE
8,2019,Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More),The Umbrella Academy,"Mark Worthington, Production Designer; Mark Steel, Art Director; Jim Lambie, Set Decorator",Netflix,UCP,FALSE
9,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),Game Of Thrones,"Deborah Riley, Production Designer; Paul Ghirardani, Art Director; Rob Cameron, Set Decorator",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
10,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Man In The High Castle,"Drew Boughton, Production Designer; Dean O'Dell, Art Director; Jonathan Lancaster, Set Decorator; Lisa Lancaster, Set Decorator",Prime Video,Amazon Studios,FALSE
11,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),The Marvelous Mrs. Maisel,"Bill Groom, Production Designer; Neil Prince, Art Director; Ellen Christiansen, Set Decorator",Prime Video,Amazon Studios,FALSE
12,2019,Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More),A Series Of Unfortunate Events,"Bo Welch, Production Designer; Don MacAulay, Art Director; Kate Marshall, Set Decorator",Netflix,A Netflix Original Production,FALSE
13,2019,Outstanding Production Design For A Narrative Program (Half-Hour),Barry,"Tyler B. Robinson, Production Designer; Eric Schoonover, Art Director; Rachael Ferrara, Set Decorator",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
14,2019,Outstanding Production Design For A Narrative Program (Half-Hour),Veep,"Jim Gloster, Production Designer; Andrew Leitch, Art Director; Kimberly Wannop, SDSA, Set Decorator; David Smith, Set Decorator",HBO,HBO Entertainment,FALSE
15,2019,Outstanding Production Design For A Narrative Program (Half-Hour),Will & Grace,"Glenda Rovello, Production Designer; Conny Marinos, Art Director; Peter Gurski, SDSA, Set Decorator",NBC,Universal Television in association with KoMut Entertainment and Three Princesses and a P,FALSE
16,2019,"Outstanding Production Design For A Variety, Reality Or Competition Series",At Home With Amy Sedaris,"Jason Singleton, Production Designer; Naomi Munro, Art Director; Kim Fischer, Set Decorator",truTV,A truTV production in association with A24,FALSE
17,2019,"Outstanding Production Design For A Variety, Reality Or Competition Series",Last Week Tonight With John Oliver,"Eric Morrell, Production Designer; Ipek Celik, Set Decorator",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,FALSE
18,2019,"Outstanding Production Design For A Variety, Reality Or Competition Series",Queer Eye,"Thomas Rouse, Production Designer",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",FALSE
19,2019,Outstanding Production Design For A Variety Special,The 61st Grammy Awards,"Brian Stonestreet, Production Designer; Kristen Merlino, Art Director; Gloria Lamb, Art Director",CBS,"AEG Ehrlich Ventures, LLC",FALSE
20,2019,Outstanding Production Design For A Variety Special,Homecoming: A Film By Beyoncé,"Ric Lipson, Production Designer; Rachel Duncan, Production Designer; Andrew Makadsi, Art Director",Netflix,Parkwood Entertainment,FALSE
21,2019,Outstanding Production Design For A Variety Special,The Oscars,"David Korins, Production Designer; Alana Billingsley, Art Director",ABC,The Academy of Motion Picture Arts and Sciences,FALSE
22,2019,Outstanding Casting For A Comedy Series,Barry,"Sherry Thomas, CSA, Casting by; Sharon Bialy, CSA, Casting by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
23,2019,Outstanding Casting For A Comedy Series,The Marvelous Mrs. Maisel,"Cindy Tolan, Casting by",Prime Video,Amazon Studios,FALSE
24,2019,Outstanding Casting For A Comedy Series,Russian Doll,"Christine Kromer, CSA, Casting by",Netflix,"Universal Television in association with Jax Media, Paper Kite Productions, 3 Arts Entertainment, Shoot to Midnight, Avenue A",FALSE
25,2019,Outstanding Casting For A Comedy Series,Veep,"Dorian Frankel, CSA, Casting by; Sibby Kirchgessner, CSA, Casting by",HBO,HBO Entertainment,FALSE
26,2019,Outstanding Casting For A Drama Series,Killing Eve,"Suzanne Crowley, Casting by; Gilly Poole, Casting by",BBC America,Sid Gentle Films Ltd.,FALSE
27,2019,Outstanding Casting For A Drama Series,Ozark,"Alexa L. Fogel, CSA, Casting by; Tara Feldstein Bennett, CSA, Location Casting; Chase Paris, CSA, Location Casting",Netflix,Media Rights Capital,FALSE
28,2019,Outstanding Casting For A Drama Series,Pose,"Alexa L. Fogel, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
29,2019,Outstanding Casting For A Drama Series,Succession,"Francine Maisler, CSA, Original Casting by; Douglas Aibel, CSA, Casting by; Henry Russell Bergstein, CSA, Casting by",HBO,HBO Entertainment in association with Project Zeus and Gary Sanchez Productions,FALSE
30,2019,"Outstanding Casting For A Limited Series, Movie Or Special",Escape At Dannemora,"Rachel Tenner, CSA, Casting by",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",FALSE
31,2019,"Outstanding Casting For A Limited Series, Movie Or Special",Fosse/Verdon,"Bernie Telsey, CSA, Casting by; Tiffany Little Canfield, CSA, Casting by",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
32,2019,"Outstanding Casting For A Limited Series, Movie Or Special",Sharp Objects,"David Rubin, Casting by",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",FALSE
33,2019,Outstanding Choreography For Variety Or Reality Programming,So You Think You Can Dance,"Travis Wall, Choreographer",FOX,"Dick Clark Productions, Inc. and 19 Entertainment",FALSE
34,2019,Outstanding Choreography For Variety Or Reality Programming,So You Think You Can Dance,"Luther Brown, Choreographer",FOX,"Dick Clark Productions, Inc. and 19 Entertainment",FALSE
35,2019,Outstanding Choreography For Variety Or Reality Programming,World Of Dance,"Suresh Mukund, Choreographer",NBC,Universal Television Alternative Studio in association with Nuyorican Productions and World of Dance,FALSE
36,2019,Outstanding Choreography For Variety Or Reality Programming,World Of Dance,"Karen Forcano, Choreographer; Ricardo Vega, Choreographer",NBC,Universal Television Alternative Studio in association with Nuyorican Productions and World of Dance,FALSE
37,2019,Outstanding Cinematography For A Multi-Camera Series,Rel,"George Mooradian, ASC, Director of Photography",FOX,20th Century Fox Television,FALSE
38,2019,Outstanding Cinematography For A Multi-Camera Series,Will & Grace,"Gary Baum, ASC, Director of Photography",NBC,Universal Television in association with KoMut Entertainment and Three Princesses and a P,FALSE
39,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),Game Of Thrones,"Jonathan Freeman, ASC, Director of Photography",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
40,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),The Handmaid's Tale,"Zoë White, Director of Photography",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",FALSE
41,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),The Handmaid's Tale,"Colin Watkinson, Director of Photography",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",FALSE
42,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),Hanna,"Dana Gonzales, ASC, Director of Photography",Prime Video,Universal Media Studios International and Amazon Studios,FALSE
43,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),The Man In The High Castle,"Gonzalo Amat, Director of Photography",Prime Video,Amazon Studios,FALSE
44,2019,Outstanding Cinematography For A Single-Camera Series (One Hour),Ray Donovan,"Robert McLachlan, ASC, Director of Photography",Showtime,"The Mark Gordon Company, David Hollander Productions",FALSE
45,2019,Outstanding Cinematography For A Limited Series Or Movie,Deadwood: The Movie,"David Klein, ASC, Director of Photography",HBO,HBO Films in association with Red Board and The Mighty Mint,FALSE
46,2019,Outstanding Cinematography For A Nonfiction Program,Anthony Bourdain Parts Unknown,"Morgan Fallon, Director of Photography; Todd Liebler, Director of Photography; Zach Zamboni, Director of Photography",CNN,"CNN Original Series, Zero Point Zero Production, Inc.",FALSE
47,2019,Outstanding Cinematography For A Nonfiction Program,Our Planet,"Doug Anderson, Director of Photography; Gavin Thurston, Director of Photography",Netflix,Silverback Films,FALSE
48,2019,Outstanding Cinematography For A Nonfiction Program,Our Planet,"Alastair MacEwen, Director of Photography; Matt Aeberhard, Director of Photography",Netflix,Silverback Films,FALSE
49,2019,Outstanding Cinematography For A Nonfiction Program,Our Planet,"Jamie McPherson, Director of Photography; Roger Horrocks, Director of Photography",Netflix,Silverback Films,FALSE
50,2019,Outstanding Cinematography For A Reality Program,Queer Eye,"Garrett Rose, Director of Photography",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",FALSE
51,2019,Outstanding Commercial,Behind The Mac - Make Something Wonderful - Macbook,"TBWA\Media Arts Lab, Ad Agency",,,FALSE
52,2019,Outstanding Commercial,Point Of View - Sandy Hook Promise,"BBDO New York, Ad Agency; MJZ, Production Company",,,FALSE
53,2019,Outstanding Commercial,Shot On iPhone XS - Don't Mess With Mother - iPhone,"TBWA\Media Arts Lab, Ad Agency; Camp4 Collective, Production Company",,,FALSE
54,2019,Outstanding Period Costumes,Fosse/Verdon,"Melissa Toth, Costume Designer; Joseph La Corte, Costume Designer; Catherine Crabtree, Assistant Costume Designer; Isabelle Simone, Assistant Costume Designer; Kristin Isola, Assistant Costume Designer; Virginia Patton, Costume Supervisor",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
55,2019,Outstanding Period Costumes,GLOW,"Beth Morgan, Costume Designer; Alexandra Casey, Assistant Costume Designer; Sharon Taylor Sampson, Costume Supervisor",Netflix,A Netflix Original Series in association with Tilted Productions,FALSE
56,2019,Outstanding Contemporary Costumes,black-ish,"Michelle R. Cole, Costume Designer; Devon Patterson, Costume Supervisor",ABC,ABC Studios,FALSE
57,2019,Outstanding Contemporary Costumes,Escape At Dannemora,"David Robinson, Costume Designer; Ann Bryant, Assistant Costume Designer; Barbara Hause, Costume Supervisor",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",FALSE
58,2019,Outstanding Contemporary Costumes,Grace And Frankie,"Allyson B. Fanger, Costume Designer; Kristine Haag, Assistant Costume Designer; Lori DeLapp, Costume Supervisor",Netflix,Skydance Productions,FALSE
59,2019,Outstanding Contemporary Costumes,Schitt's Creek,"Debra Hanson, Costume Designer; Darci Cheyne, Assistant Costume Designer",Pop TV,"Not A Real Company Productions, Inc.",FALSE
60,2019,Outstanding Contemporary Costumes,Sharp Objects,"Alix Friedberg, Costume Designer; Shawn Barry, Costume Supervisor",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",FALSE
61,2019,"Outstanding Costumes For Variety, Nonfiction Or Reality Programming",Dancing With The Stars,"Daniela Gschwendtner, Costume Designer; Steven Lee, Costume Designer; Polina Roytman, Assistant Costume Designer; Candice Rainwater, Assistant Costume Designer; Howard Sussman, Costume Supervisor",ABC,BBC Studios,FALSE
62,2019,"Outstanding Costumes For Variety, Nonfiction Or Reality Programming",Homecoming: A Film By Beyoncé,"Marni Senofonte, Costume Designer; Olivier Rousteing, Costume Designer; Timothy White, Costume Supervisor",Netflix,Parkwood Entertainment,FALSE
63,2019,"Outstanding Costumes For Variety, Nonfiction Or Reality Programming",The Masked Singer,"Marina Toybina, Costume Designer; Grainne O'Sullivan, Costume Supervisor",FOX,Smart Dog Media / Endemol Shine North America,FALSE
64,2019,"Outstanding Costumes For Variety, Nonfiction Or Reality Programming",Saturday Night Live,"Tom Broecker, Costume Designer; Eric Justian, Costume Designer; Cristina Natividad, Assistant Costume Designer; Karena Sanchez, Assistant Costume Designer; Ashley Dudek, Assistant Costume Designer",NBC,SNL Studios in association with Universal Television and Broadway Video,FALSE
65,2019,Outstanding Directing For A Comedy Series,Barry,"Alec Berg, Directed by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
66,2019,Outstanding Directing For A Comedy Series,Barry,"Bill Hader, Directed by",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
67,2019,Outstanding Directing For A Comedy Series,The Big Bang Theory,"Mark Cendrowski, Directed by",CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",FALSE
68,2019,Outstanding Directing For A Comedy Series,The Marvelous Mrs. Maisel,"Amy Sherman-Palladino, Directed by",Prime Video,Amazon Studios,FALSE
69,2019,Outstanding Directing For A Comedy Series,The Marvelous Mrs. Maisel,"Daniel Palladino, Directed by",Prime Video,Amazon Studios,FALSE
70,2019,Outstanding Directing For A Drama Series,Game Of Thrones,"David Benioff, Directed by; D.B. Weiss, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
71,2019,Outstanding Directing For A Drama Series,Game Of Thrones,"David Nutter, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
72,2019,Outstanding Directing For A Drama Series,Game Of Thrones,"Miguel Sapochnik, Directed by",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
73,2019,Outstanding Directing For A Drama Series,The Handmaid's Tale,"Daina Reid, Directed by",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",FALSE
74,2019,Outstanding Directing For A Drama Series,Killing Eve,"Lisa Brühlmann, Directed by",BBC America,Sid Gentle Films Ltd.,FALSE
75,2019,Outstanding Directing For A Drama Series,Succession,"Adam McKay, Directed by",HBO,HBO Entertainment in association with Project Zeus and Gary Sanchez Productions,FALSE
76,2019,"Outstanding Directing For A Limited Series, Movie Or Dramatic Special",Escape At Dannemora,"Ben Stiller, Directed by",Showtime,"Red Hour, Busyhands, The White Mountain Company, Michael De Luca Productions, BZ Entertainment",FALSE
77,2019,"Outstanding Directing For A Limited Series, Movie Or Dramatic Special",Fosse/Verdon,"Jessica Yu, Directed by",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
78,2019,"Outstanding Directing For A Limited Series, Movie Or Dramatic Special",Fosse/Verdon,"Thomas Kail, Directed by",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
79,2019,"Outstanding Directing For A Limited Series, Movie Or Dramatic Special",A Very English Scandal,"Stephen Frears, Directed by",Prime Video,Blueprint and Amazon Studios,FALSE
80,2019,"Outstanding Directing For A Limited Series, Movie Or Dramatic Special",When They See Us,"Ava DuVernay, Directed by",Netflix,"Participant Media, Tribeca Productions, Harpo Films, Array Filmworks",FALSE
81,2019,Outstanding Directing For A Variety Series,Documentary Now!,"Alex Buono, Directed by; Rhys Thomas, Directed by",IFC,Broadway Video,FALSE
82,2019,Outstanding Directing For A Variety Series,Drunk History,"Derek Waters, Directed by",Comedy Central,"Gary Sanchez Productions, Central Productions, LLC",FALSE
83,2019,Outstanding Directing For A Variety Series,Last Week Tonight With John Oliver,"Paul Pennolino, Directed by",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,FALSE
84,2019,Outstanding Directing For A Variety Series,The Late Show With Stephen Colbert,"Jim Hoskinson, Directed by",CBS,CBS Television Studios,FALSE
85,2019,Outstanding Directing For A Variety Series,Who Is America?,"Sacha Baron Cohen, Directed by; Nathan Fielder, Directed by; Daniel Gray Longino, Directed by; Dan Mazer, Directed by",Showtime,"Spelthorne Community Television, Four By Two Television",FALSE
86,2019,Outstanding Directing For A Variety Special,Carpool Karaoke: When Corden Met McCartney Live From Liverpool,"Ben Winston, Directed by",CBS,CBS Television Studios / Fulwell 73,FALSE
87,2019,Outstanding Directing For A Variety Special,Homecoming: A Film By Beyoncé,"Beyoncé Knowles-Carter, Directed by; Ed Burke, Directed by",Netflix,Parkwood Entertainment,FALSE
88,2019,Outstanding Directing For A Variety Special,The Oscars,"Glenn Weiss, Directed by",ABC,The Academy of Motion Picture Arts and Sciences,FALSE
89,2019,Outstanding Directing For A Documentary/Nonfiction Program,FYRE: The Greatest Party That Never Happened,"Chris Smith, Directed by",Netflix,"Jerry Media, Library Films, Matte Projects and Vice Studios",FALSE
90,2019,Outstanding Directing For A Documentary/Nonfiction Program,Leaving Neverland,"Dan Reed, Directed by",HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,FALSE
91,2019,Outstanding Directing For A Documentary/Nonfiction Program,RBG,"Julie Cohen, Directed by; Betsy West, Directed by",CNN,"CNN Films, Storyville Films",FALSE
92,2019,Outstanding Single-Camera Picture Editing For A Drama Series,Game Of Thrones,"Katie Weiland, ACE, Editor",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
93,2019,Outstanding Single-Camera Picture Editing For A Drama Series,Game Of Thrones,"Crispin Green, Editor",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
94,2019,Outstanding Single-Camera Picture Editing For A Drama Series,The Handmaid's Tale,"Wendy Hallam Martin, ACE, Editor",Hulu,"MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",FALSE
95,2019,Outstanding Single-Camera Picture Editing For A Drama Series,Killing Eve,"Dan Crinnion, Editor",BBC America,Sid Gentle Films Ltd.,FALSE
96,2019,Outstanding Single-Camera Picture Editing For A Drama Series,Ozark,"Cindy Mollo, ACE, Editor; Heather Goodwin Floyd, Editor",Netflix,Media Rights Capital,FALSE
97,2019,Outstanding Single-Camera Picture Editing For A Comedy Series,Barry,"Kyle Reiter, ACE, Editor",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
98,2019,Outstanding Single-Camera Picture Editing For A Comedy Series,Barry,"Jeff Buchanan, Editor",HBO,HBO Entertainment in association with Alec Berg and Hanarply,FALSE
99,2019,Outstanding Single-Camera Picture Editing For A Comedy Series,The Marvelous Mrs. Maisel,"Kate Sanford, ACE, Editor",Prime Video,Amazon Studios,FALSE
100,2019,Outstanding Single-Camera Picture Editing For A Comedy Series,The Marvelous Mrs. Maisel,"Tim Streeto, ACE, Editor",Prime Video,Amazon Studios,FALSE
101,2019,Outstanding Single-Camera Picture Editing For A Comedy Series,Russian Doll,"Laura Weinberg, Editor",Netflix,"Universal Television in association with Jax Media, Paper Kite Productions, 3 Arts Entertainment, Shoot to Midnight, Avenue A",FALSE
102,2019,Outstanding Multi-Camera Picture Editing For A Comedy Series,The Big Bang Theory,"Peter Chakos, Editor",CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",FALSE
103,2019,Outstanding Multi-Camera Picture Editing For A Comedy Series,The Conners,"Brian Schnuckel, ACE, Editor",ABC,Carsey-Werner Television,FALSE
104,2019,Outstanding Multi-Camera Picture Editing For A Comedy Series,Mom,"Joe Bella, Editor",CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",FALSE
105,2019,Outstanding Multi-Camera Picture Editing For A Comedy Series,Will & Grace,"Peter Beyt, ACE, Editor",NBC,Universal Television in association with KoMut Entertainment and Three Princesses and a P,FALSE
106,2019,Outstanding Single-Camera Picture Editing For A Limited Series Or Movie,Fosse/Verdon,"Tim Streeto, ACE, Editor",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
107,2019,Outstanding Single-Camera Picture Editing For A Limited Series Or Movie,Sharp Objects,"Véronique Barbe, Editor; Justin Lachance, Editor; Maxime Lahaie, Editor; Émile Vallée, Editor; Jai M. Vee, Editor",HBO,"HBO Entertainment in association with eOne and Tiny Pyro Productions, Blumhouse Television, Fourth Born, Crazyrose Productions",FALSE
108,2019,Outstanding Single-Camera Picture Editing For A Limited Series Or Movie,True Detective,"Leo Trombetta, ACE, Editor",HBO,"HBO Entertainment in association with Neon Black, Passenger and Parliament of Owls",FALSE
109,2019,Outstanding Picture Editing For Variety Programming,Carpool Karaoke: When Corden Met McCartney Live From Liverpool,"Tom Jarvis, Editor",CBS,CBS Television Studios / Fulwell 73,FALSE
110,2019,Outstanding Picture Editing For Variety Programming,Drunk History,"John Cason, Editor",Comedy Central,"Gary Sanchez Productions, Central Productions, LLC",FALSE
111,2019,Outstanding Picture Editing For Variety Programming,Last Week Tonight With John Oliver,"Anthony Miale, Editor",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,FALSE
112,2019,Outstanding Picture Editing For A Nonfiction Program,Anthony Bourdain Parts Unknown,"Tom Patterson, Editor",CNN,"CNN Original Series, Zero Point Zero Production, Inc.",FALSE
113,2019,Outstanding Picture Editing For A Nonfiction Program,Leaving Neverland,"Jules Cornell, Editor",HBO,HBO Documentary Films in association with Channel 4 and Amos Pictures,FALSE
114,2019,Outstanding Picture Editing For A Nonfiction Program,RBG,"Carla Gutierrez, ACE, Editor",CNN,"CNN Films, Storyville Films",FALSE
115,2019,Outstanding Picture Editing For A Structured Reality Or Competition Program,The Amazing Race,"Kellen Cruden, Editor; Christina Fontana, Editor; Jay Gammill, Editor; Katherine Griffin, Editor; Josh Lowry, Editor; Steve Mellon, Editor; Jason Pedroza, Editor",CBS,"WorldRace Productions, Inc.",FALSE
116,2019,Outstanding Picture Editing For A Structured Reality Or Competition Program,RuPaul's Drag Race,"Jamie Martin, Lead Editor; Michael Lynn Deis, Editor; Julie Tseselsky Kirschner, Editor; John Lim, Editor; Ryan Mallick, Editor; Michael Roha, Editor; Corey Ziemniak, Editor",VH1,World of Wonder Productions,FALSE
117,2019,Outstanding Picture Editing For A Structured Reality Or Competition Program,Survivor,"Fred Hawthorne, Supervising Editor; Andrew Bolhuis, Editor; Joubin Mortazavi, Editor; Plowden Schumacher, Editor; David Armstrong, Editor; Evan Mediuch, Editor; Jacob Teixeira, Editor",CBS,MGM Television,FALSE
118,2019,Outstanding Picture Editing For An Unstructured Reality Program,Deadliest Catch,"Rob Butler, ACE, Supervising Editor; Isaiah Camp, Supervising Editor; Nathen Araiza, Lead Editor; Ben Bulatao, ACE, Editor; Greg Cornejo, Editor",Discovery Channel,"Original Productions, LLC",FALSE
119,2019,Outstanding Picture Editing For An Unstructured Reality Program,Life Below Zero,"Tony Diaz, Editor; Matt Mercer, Editor; Jennifer Nelson, Editor; Eric Michael Schrader, Editor; Michael Swingler, Editor",National Geographic,BBC Studios,FALSE
120,2019,Outstanding Picture Editing For An Unstructured Reality Program,RuPaul's Drag Race: Untucked,"Kendra Pasker, Lead Editor; Shayna Casey, Editor; Stavros Stavropoulos, Editor",VH1,World of Wonder Productions,FALSE
121,2019,Outstanding Hairstyling For A Single-Camera Series,Game Of Thrones,"Kevin Alexander, Department Head Hairstylist; Candice Banks, Key Hairstylist; Nicola Mount, Hairstylist; Rosalia Culora, Hairstylist",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",FALSE
122,2019,Outstanding Hairstyling For A Single-Camera Series,GLOW,"Theraesa Rivers, Department Head Hairstylist; Valerie Jackson, Key Hairstylist; Mishell Chandler, Hairstylist; Deborah Pierce, Hairstylist; Loretta Nero, Hairstylist; Jason Green, Hairstylist",Netflix,A Netflix Original Series in association with Tilted Productions,FALSE
123,2019,Outstanding Hairstyling For A Single-Camera Series,Pose,"Chris Clark, Department Head Hairstylist; Barry Lee Moe, Department Head Hairstylist; Jameson Eaton, Hairstylist; Mia Neal, Hairstylist; Tim Harvey, Additional Hairstylist; Sabana Majeed, Additional Hairstylist",FX Networks,Fox 21 Television Studios and FX Productions,FALSE
124,2019,Outstanding Hairstyling For A Multi-Camera Series Or Special,Saturday Night Live,"Jodi Mancuso, Department Head Hairstylist; Cara Hannah Sullivan, Key Hairstylist; Inga Thrasher, Hairstylist; Gina Ferrucci, Hairstylist; Joseph C. Whitmeyer, Hairstylist; Amanda Duffy Evans, Hairstylist",NBC,SNL Studios in association with Universal Television and Broadway Video,FALSE
125,2019,Outstanding Hairstyling For A Multi-Camera Series Or Special,The Voice,"Jerilynn Stephens, Department Head Hairstylist; Meagan Herrera-Schaaf, Key Hairstylist; Renee Ferruggia, Hairstylist; Darbie Wieczorek, Hairstylist; Stacey Morris, Hairstylist; Amber Maher, Hairstylist",NBC,"MGM Television, Talpa Media USA, Inc. and Warner Horizon Unscripted & Alternative Television",FALSE
126,2019,Outstanding Hairstyling For A Limited Series Or Movie,Deadwood: The Movie,"Melissa Yonkey, Department Head Hairstylist; Laine Trzinski, Assistant Department Head Hairstylist; Jose Zamora, Key Hairstylist",HBO,HBO Films in association with Red Board and The Mighty Mint,FALSE
127,2019,Outstanding Hairstyling For A Limited Series Or Movie,True Detective,"Brian B. Badie, Department Head Hairstylist; Andrea Mona Bowman, Key Hairstylist; Lawrence Cornell Davis, Personal Hairstylist",HBO,"HBO Entertainment in association with Neon Black, Passenger and Parliament of Owls",FALSE
128,2019,Outstanding Interactive Program,Conan,"Conan O'Brien, Executive Producer/Host; Jeff Ross, Executive Producer; Steve Beslow, Producer; Aaron Bleyaert, Producer; Ruthie Wyatt, Producer",TBS,"Team Coco/Conaco, LLC",FALSE
129,2019,Outstanding Interactive Program,Last Week Tonight With John Oliver,"Partially Important Productions, ",HBO,HBO Entertainment in association with Sixteen String Jack Productions and Avalon Television,FALSE
130,2019,Outstanding Interactive Program,The Late Late Show With James Corden,"James Corden, Host; Ben Winston, Executive Producer; Rob Crabbe, Executive Producer; Adam Abramson, Director of Digital; Tyler White, Social Media Producer",CBS,CBS Television Studios / Fulwell 73,FALSE
131,2019,Outstanding Interactive Program,The Late Show With Stephen Colbert,"Stephen Colbert, Executive Producer; Chris Licht, Executive Producer; Opus Moreschi, Head Writer; Ariel Dumas, Digital Content Producer; Matt Simpson, Director, Content & Product Strategy",CBS,CBS Television Studios,FALSE
132,2019,Outstanding Original Interactive Program,You Vs. Wild,"Rob Buchta, Executive Producer; Bear Grylls, Executive Producer; Chris Grant, Executive Producer; Delbert Shoopman, Executive Producer; Ben Simms, Director",Netflix,Electus and Bear Grylls Ventures,FALSE
133,2019,Outstanding Creative Achievement In Interactive Media Within A Scripted Program,Game Of Thrones,"HBO, ; AT&T, ",HBO,"Framestore, TwentyFour 7",FALSE
134,2019,Outstanding Creative Achievement In Interactive Media Within A Scripted Program,The Good Place,"NBC Entertainment Marketing & Digital, ",NBC,NBC Entertainment,FALSE
135,2019,Outstanding Creative Achievement In Interactive Media Within An Unscripted Program,CONAN Without Borders,"Conan O'Brien, Executive Producer/Host; Jeff Ross, Executive Producer; Mike Sweeney, Producer; Aaron Bleyaert, Producer; Ruthie Wyatt, Producer",TBS,"Team Coco/Conaco, LLC",FALSE
